epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,226.865,1.6957,3.09591,1.72272,0.58174,0.42307,0.43708,0.21728,1.93394,2.27564,2.07612,0.000277025,0.000277025,0.000277025
2,426.785,1.67082,2.30864,1.68707,0.38299,0.47653,0.44511,0.22817,1.94795,2.3526,2.14138,0.000532726,0.000532726,0.000532726
3,629.185,1.65449,2.10193,1.68607,0.47509,0.46987,0.45491,0.22599,1.80823,2.41406,1.98168,0.000766436,0.000766436,0.000766436
4,822.33,1.62986,1.96925,1.67503,0.53188,0.52066,0.52281,0.26337,1.80394,2.02239,1.93971,0.00073404,0.00073404,0.00073404
5,1018.05,1.58151,1.82922,1.62785,0.47425,0.56425,0.53967,0.26963,1.86201,2.0238,1.99329,0.000701053,0.000701053,0.000701053
6,1218.09,1.5683,1.76037,1.6115,0.57156,0.58021,0.60476,0.32302,1.73333,1.82366,1.8656,0.000668066,0.000668066,0.000668066
7,1413.31,1.53919,1.67646,1.5862,0.59443,0.56478,0.60649,0.33995,1.73864,1.85219,1.80762,0.000635079,0.000635079,0.000635079
8,1609.14,1.51733,1.62779,1.57615,0.62385,0.61896,0.6488,0.36463,1.71119,1.69864,1.81597,0.000602092,0.000602092,0.000602092
9,1804.19,1.49181,1.5704,1.54759,0.61338,0.65917,0.6717,0.37103,1.68832,1.64444,1.77782,0.000569106,0.000569106,0.000569106
10,2386.53,1.46223,1.51526,1.53199,0.65127,0.64667,0.66675,0.38408,1.66166,1.70855,1.76263,0.000536119,0.000536119,0.000536119
11,2570.09,1.44693,1.45667,1.51621,0.6257,0.69327,0.68689,0.39677,1.67641,1.58934,1.76096,0.000503132,0.000503132,0.000503132
12,2860.22,1.43893,1.42927,1.50828,0.65403,0.69231,0.70617,0.41508,1.67093,1.55663,1.78204,0.000470145,0.000470145,0.000470145
13,3371.16,1.41502,1.38118,1.48925,0.66357,0.7265,0.72891,0.43028,1.64439,1.48605,1.736,0.000437158,0.000437158,0.000437158
14,3815,1.40661,1.34111,1.47298,0.70193,0.70829,0.73379,0.44283,1.63721,1.44262,1.72644,0.000404172,0.000404172,0.000404172
15,4217.4,1.38511,1.31255,1.46754,0.69926,0.71503,0.74513,0.45373,1.63332,1.42513,1.75222,0.000371185,0.000371185,0.000371185
16,4437.91,1.41887,1.23079,1.56327,0.71427,0.71563,0.75685,0.46194,1.65464,1.39938,1.75508,0.000338198,0.000338198,0.000338198
17,4613.37,1.40755,1.18396,1.5501,0.72797,0.72058,0.7594,0.46072,1.59106,1.40757,1.69997,0.000305211,0.000305211,0.000305211
18,4799.01,1.3759,1.1135,1.5294,0.73382,0.75705,0.7779,0.47429,1.58415,1.30905,1.68876,0.000272224,0.000272224,0.000272224
19,4990.53,1.34585,1.05351,1.50088,0.73461,0.76578,0.78658,0.4883,1.54746,1.26292,1.66145,0.000239238,0.000239238,0.000239238
20,5189.77,1.32524,1.02395,1.48411,0.74124,0.78093,0.79827,0.49169,1.5752,1.23046,1.67851,0.000206251,0.000206251,0.000206251
21,5369.6,1.30148,0.97775,1.46503,0.75867,0.77921,0.80738,0.50502,1.55161,1.19414,1.65628,0.000173264,0.000173264,0.000173264
22,5546.74,1.27237,0.93203,1.43851,0.76352,0.77123,0.8058,0.50849,1.55323,1.18216,1.66786,0.000140277,0.000140277,0.000140277
23,5755.65,1.25347,0.90749,1.42795,0.75912,0.78947,0.81745,0.51696,1.55027,1.1446,1.64055,0.00010729,0.00010729,0.00010729
24,5957.08,1.22898,0.87111,1.40677,0.77837,0.79956,0.82426,0.5299,1.51827,1.10963,1.63377,7.43036e-05,7.43036e-05,7.43036e-05
25,6153.3,1.21586,0.84725,1.39498,0.76693,0.79581,0.82494,0.52806,1.5064,1.11839,1.61573,4.13168e-05,4.13168e-05,4.13168e-05
